层级,性质,子层,角色职能,国内代表,海外代表,收入模式,主要成本,关键风险,数据等级与来源
L1,主链,模型与算力,提供推理/多模态/Agent能力,豆包大模型/通义/混元/DeepSeek,OpenAI/Google Gemini/Anthropic,API调用费;云捆绑;订阅;集团战略价值,训练资本开支;推理算力;人才,垂类能力被平台自研替代;推理成本约束,"P1（代表名单为公开事实）；成本量级未取得可追溯数据，不列数值"
L2,主链,2a 通用AI助手（站外）,承接购物意图:需求理解/发现/部分闭环,豆包/千问/元宝,ChatGPT/Gemini/Perplexity,交易佣金约4%(ChatGPT);生态内归因结算;订阅,推理成本;获客;商品数据接入,推荐公正性;幻觉错购;自动下单风控;监管,"P1（QuestMobile 用户规模）＋P2（公司披露佣金率，见报告§5.2）"
L2,主链,2b 站内AI导购,交易场内降决策成本/防入口外流,淘宝AI导购(AI万能搜+千问AI购物助手)/拼多多AI搜索/快手AI购物助手,Amazon Rufus/Instacart Cart Assistant/Target等零售商AI应用,不直接收费;价值=转化提升与留存,推理成本;研发;幻觉治理,AI答案位与竞价广告位冲突;瓶颈在交互层而非流量,"P2（Rufus 效果数据为公司口径，含自选择偏差）＋P3（淘宝AI导购内部口径，见报告§1.6）"
L2,主链,2c 内容社区AI,种草语料与生活决策入口,小红书点点/抖音AI搜索,-,广告;种草-交易闭环强化,模型接入与自研;语料治理,语料被站外大模型免费利用,P1（产品进展为公开事实；无可追溯量化数据）
L2,主链,2d 硬件与OS入口,语音/穿戴/IoT购物入口,千问AI眼镜/豆包手机,Alexa+,硬件销售+生态服务,硬件补贴;语音风控,身份确认与误购,P1（产品进展为公开事实；设备量级数据未交叉验证，不列数值）
L3,主链,3a 平台市场,商品池/定价/交易/履约所有者,淘天/京东/拼多多/抖音电商,Amazon/Target/Etsy/Shopify商家,AI渠道增量GMV,佣金与通道费;feed改造;GEO预算,被AI入口管道化;用户关系被切断,P1（协议接入与产品动作为公开事实）
L3,主链,3b 品牌与商家,商品供给与D2C经营,品牌自营小程序/D2C商家,Shopify商家/Etsy卖家,商品毛利,商品运营;feed改造;GEO投入,被AI入口管道化;用户关系被切断,P1（Shopify Agentic Storefronts 默认开启为公开事实）
L3,主链,3c 即时零售垂直,30分钟履约生鲜杂货,小象超市(含叮咚买菜中国业务)/盒马/七鲜,Instacart/Kroger/Sprouts,商品毛利+履约费;白标SaaS,前置仓网络;履约人力;损耗,低毛利与推理成本的矛盾;巨头挤压,P1（美团收购叮咚买菜中国业务初始对价约7.17亿美元，港交所公告，见报告§4.3）
L4,主链,4a 商务协议与目录,让商品可被代理发现与下单,小程序生态（事实标准）,ACP(OpenAI+Stripe)/UCP(Google)/Shopify Agentic Storefronts,免费开放换生态卡位,标准建设与维护,多协议并存推高商家适配成本,P1（协议文档与官方公告）
L4,主链,4b 支付与信任,代理支付授权/令牌/清结算,支付宝/微信支付/抖音支付,Stripe/Visa/Mastercard/AP2,交易通道费;令牌服务费,风控体系;标准共建,代理错误交易的责任划分;牌照监管,P1（协议文档与官方公告）
L5,使能,5a GEO/AEO优化,让品牌被AI推荐,GEO服务商,Profound/Peec/Semrush/Ahrefs,SaaS订阅+咨询,逆向工程研发;多模型适配,平台规则突变;AI厂商自建广告后空间被压缩,"P1（服务商名单为公开事实）；市场规模与预算增幅的转引数字未通过置信度门槛，不列数值"
L5,使能,5b SaaS与Agent平台,商家侧Agent开发与运营,有赞/微盟,Salesforce Agentforce/Shopify Sidekick/Adobe,订阅+抽佣,平台绑定研发,与平台原生工具竞争,P1（产品名单为公开事实）；效果数据未取得可追溯来源，不列数值
L5,使能,5c 内容与数字人,直播/素材AI生成,数字人与内容生成服务商,-,坐席/时长订阅,算力与形象版权,同质化;平台政策收紧,P1（业态存在为公开事实）；开播率与成本比等自报数据未通过置信度门槛，不列示
L6,使能,履约供应链AI,预测/补货/调度/品控,即时零售与物流算法体系,Instacart Store View等,效率成本差（降损耗/提周转）,数据体系与算法团队,数据孤岛;中小玩家无力自建,P2（艾瑞企业问卷：94%已用AI Agent提效、52%用于预测补货，见报告§1.5.1）
