面板组,指标,披露时点,数值,单位,展示标签,性质,口径说明,来源,数据等级,是否派生,作图规则
Rufus主面板,累计使用用户,2025Q3电话会,2.5,亿,2.5亿,公司披露,年度累计使用用户（非月活、非日活）；本面板两柱为披露进展对照，禁止计算「增长20%」,亚马逊2025Q3财报电话会,P2,否,可画柱
Rufus主面板,累计使用用户,2025Q4电话会／新闻稿,3.0,亿,超3亿,公司披露,年度累计使用用户；柱长取3.0、标签保留「超3亿」；禁止与上柱算增长率,亚马逊2025Q4财报电话会及Q4业绩新闻稿,P2,否,可画柱
Rufus主面板,月活跃用户同比,2025Q3电话会,140,%,+140%,公司披露,月活跃用户同比增速；无MAU绝对值；与下一条为两次披露、非同一连续序列的差分,亚马逊2025Q3财报电话会,P2,否,可画柱
Rufus主面板,月活跃用户同比,2025-11-18产品公告,149,%,+149%,公司披露,月平均用户同比增速；原文monthly average users；无绝对值,亚马逊About Amazon产品公告（2025-11-18）,P2,否,可画柱
Rufus主面板,交互量同比,2025Q3电话会与2025-11-18公告,210,%,+210%,公司披露,交互次数同比增速；Q3与11月公告数值相同；无会话定义、无人均轮次,亚马逊2025Q3财报电话会；2025-11-18产品公告,P2,否,可画柱
Rufus主面板,使用者购买完成率优势,2025Q4电话会确认,60,%,约高60%,观察性对比,对照＝使用者对未使用者；含自选择偏差；相关性上限非因果；Q3／11月公告亦有同类表述,亚马逊2025Q4财报电话会（CEO）；此前Q3与2025-11-18公告已披露,P2,否,可画柱_须标观察性
Rufus主面板,增量年化销售,2025Q3电话会,100,亿美元,逾100亿节奏,公司口径估算,incremental年化节奏；归因方法未完整披露；本面板两柱为披露进展，禁止算「销售增20%」,亚马逊2025Q3财报电话会,P2,否,可画柱_须标归因局限
Rufus主面板,增量年化销售,2025Q4电话会／新闻稿,120,亿美元,近120亿,公司口径估算,incremental年化销售近120亿美元；归因方法未完整披露,亚马逊2025Q4财报电话会及Q4业绩新闻稿,P2,否,可画柱_须标归因局限
方向判断_不画倍数柱,交互增速与月活增速比较,—,—,—,交互增速持续高于月活增速,方向判断,事实：+210%分别高于+140%与+149%；只支持「使用加深」方向，不可还原人均轮次或人均交互倍数；禁止画≈1.41×柱,本报告判读（比较上述P2同比）,本报告判读,否,仅文本
合并后隔离面板,Alexa_for_Shopping活跃用户,2026Q2新闻稿,—,—,接近翻倍,公司披露_不同产品,Rufus与Alexa+合并后口径；原文close to doubling；禁止编码为精确100%柱长,亚马逊2026Q2业绩新闻稿,P2_不同产品,否,仅文本标签
合并后隔离面板,Alexa_for_Shopping交互量,2026Q2新闻稿,—,—,超5倍,公司披露_不同产品,原文interactions up over 5x；禁止编码为精确500%柱长；不可与Rufus主面板共轴排名,亚马逊2026Q2业绩新闻稿,P2_不同产品,否,仅文本标签
合并后隔离面板,Alexa_for_Shopping客单价优势_美国,2026Q2新闻稿,—,—,高逾40%,观察性对比_不同产品,美国使用者平均每单花费相对未使用者；与Rufus完成率+60%不同构造,亚马逊2026Q2业绩新闻稿,P2_不同产品,否,仅文本标签
未取得_不画柱,DAU绝对值,—,—,—,未取得,同口径未取得,见图11与rufus_engagement_alignment.csv,—,未取得,否,禁止画柱
未取得_不画柱,人均IPV／对话轮次／留存回访,—,—,—,未取得,同口径未取得,见图11,—,未取得,否,禁止画柱
