产品,指标,数值,单位,口径说明,数据性质
淘宝AI导购,DAU,500.0,万人,使用淘宝站内AI导购功能的去重日活跃用户,内部口径
淘宝AI导购,次日留存率,10.0,%,首次使用后次日（D+1）回访并再次使用该功能的用户占比,内部口径
淘宝AI导购,7日回访率,30.0,%,首次使用后7日窗口内至少回访一次的用户占比（非第7日单日留存）,内部口径
淘宝AI导购,人均IPV,0.11,次/人·日,每个使用用户日均经AI导购链路产生的商品详情页浏览次数,内部口径
淘宝AI导购,人均对话轮次,1.3,轮/会话,每个使用用户单次会话内的平均对话轮数,内部口径
千问电商场景,DAU,43.0,万人,在千问App内触发电商场景的去重日活跃用户,内部口径
千问电商场景,次日留存率,12.0,%,首次使用后次日（D+1）回访并再次触发电商场景的用户占比,内部口径
千问电商场景,7日回访率,33.0,%,首次使用后7日窗口内至少回访一次的用户占比（非第7日单日留存）,内部口径
千问电商场景,人均IPV,1.00,次/人·日,每个使用用户日均经电商场景产生的商品详情页浏览次数,内部口径
千问电商场景,人均对话轮次,2.8,轮/会话,每个使用用户单次会话内的平均对话轮数,内部口径
