指标,淘宝AI导购,千问电商场景,Rufus同口径数值,Rufus是否取得,Rufus实际披露_若有,口径是否一致,来源与校验结论,数据等级
DAU,500万人,43万人,—,否,2025全年累计使用用户超3亿（Q3披露2.5亿）,否：累计使用用户≠去重日活跃用户,"独立校验：亚马逊2025Q4财报电话会、2026Q2新闻稿、公开二手报道均未披露Rufus日活跃用户绝对值；仅有年度累计与月活同比增速",未取得同口径
人均IPV,0.11次/人·日,1.00次/人·日,—,否,—,否：无商品详情页浏览口径,"独立校验：财报与产品说明未披露经Rufus链路产生的人均商品详情页浏览；交互量仅为总次数同比，不可反推人均IPV",未取得同口径
人均对话轮次,1.3轮/会话,2.8轮/会话,—,否,交互量同比+210%（2025Q3／2025-11-18）,否：总交互次数同比≠单次会话平均轮数,"独立校验：+210%为交互次数同比增速，无会话定义、无人均轮次；不可派生「每轮产出」",未取得同口径
次日留存率,10%,12%,—,否,—,否：无D+1回访占比,"独立校验：公开材料未披露Rufus次日留存或功能回访率",未取得同口径
7日回访率,30%,33%,—,否,—,否：无7日窗口回访占比,"独立校验：公开材料未披露Rufus 7日回访／留存",未取得同口径
派生_每轮对话产出,0.085次/轮,0.357次/轮,—,否,—,否：分子分母均未取得,"派生＝人均IPV÷人均对话轮次；两项均未取得，故不计算、不展示数值",不可派生
派生_日均有效商品浏览量,55万次/日,43万次/日,—,否,—,否：分子分母均未取得,"派生＝DAU×人均IPV；两项均未取得，故不计算、不展示数值",不可派生
参考_月活同比,—,—,+149%（另有Q3的+140%）,是_但不同口径,Rufus月平均用户同比+149%（2025-11-18产品公告；Q3电话会为+140%）,否：同比增速≠DAU绝对值,"可作增速量级参照（已用于图8乐观档跨口径借用），不可填入本图DAU面板",P2不同口径
参考_交互量同比,—,—,+210%,是_但不同口径,Rufus交互量同比+210%（2025Q3电话会与2025-11-18公告一致）,否：总次数增速≠人均轮次,"不可派生每轮产出",P2不同口径
参考_购买完成率,—,—,约高60%,是_但不同口径,使用者相对未使用者购买完成率约高60%,否：效果对照≠运营参与度指标,"属图9面板①对照构造，不可与本图留存／IPV面板混排",P2不同口径
参考_增量年化销售,—,—,近120亿美元,是_但不同口径,incremental年化销售近120亿美元,否：成交额归因≠浏览参与度,"归因方法未完整披露；不可折算为IPV或浏览量",P2不同口径
