产品,情景,期间,DAU年增长倍数,人均IPV年增长倍数,假设依据
淘宝AI导购,保守,2026→2027,1.30,1.50,入口位置与曝光量不变下的自然增长；产品迭代带来有限的决策深度改善
淘宝AI导购,保守,2027→2028,1.15,1.30,增速按公开AI引荐流量的衰减规律继续收敛
淘宝AI导购,中性,2026→2027,1.60,2.00,入口曝光扩容叠加答案页带商品卡等深度改造
淘宝AI导购,中性,2027→2028,1.35,1.60,深度改善继续但边际递减
淘宝AI导购,乐观,2026→2027,2.00,2.70,对齐同类站内导购的高增长参考（Rufus月活同比+149%量级）
淘宝AI导购,乐观,2027→2028,1.60,2.00,人均IPV上限锚定于千问电商场景当前实测值1.00次/人·日
千问电商场景,保守,2026→2027,1.50,1.10,电商场景触发率自然提升；人均IPV已接近单次会话的物理上限
千问电商场景,保守,2027→2028,1.25,1.05,规模增长为主要驱动，深度基本见顶
千问电商场景,中性,2026→2027,2.00,1.20,与淘宝打通后的场景渗透扩散
千问电商场景,中性,2027→2028,1.70,1.15,渗透扩散延续，增速收敛
千问电商场景,乐观,2026→2027,3.00,1.30,对齐同类站内导购的高增长参考（Rufus交互量同比+210%量级）
千问电商场景,乐观,2027→2028,2.20,1.20,高基数下增速收敛
