产品,指标,数值,单位,口径说明,数据性质,来源
传统搜索（淘宝）,进商详到达率,90.0,%,搜索用户中至少点击一次商品结果进入详情页的比例（原文「用户点击率超过90%」；本报告按有点击率／UV-CTR量级解读，取下界90）,P2实测下界,36氪《试水AI搜索，淘宝想要更万能》（2025-09-17），引述接近手淘的消息人士对传统搜索成熟度的表述
淘宝AI导购,进商详到达率,10.4,%,由人均IPV按泊松近似推导的日度至少1次商详发生率＝1−e^(−0.11)；与「单次搜索有点击率」构造不同，仅作量级对照,P3派生,内部口径人均IPV 0.11 → 本报告计算
千问电商场景,进商详到达率,63.2,%,由人均IPV按泊松近似推导的日度至少1次商详发生率＝1−e^(−1.00)；构造同上,P3派生,内部口径人均IPV 1.00 → 本报告计算
淘宝App,DAU,40200.0,万人,淘宝App平均日活跃用户（非搜索功能DAU；搜索功能DAU未取得公开值，本行仅作规模天花板参照）,P1实测,QuestMobile（36氪快讯转引）：淘宝App 2025年6月平均日活4.02亿
淘宝AI导购,DAU,500.0,万人,使用淘宝站内AI导购功能的去重日活跃用户,P3内部,业务方提供
千问电商场景,DAU,43.0,万人,在千问App内触发电商场景的去重日活跃用户,P3内部,业务方提供
淘宝App,转化率,8.2,%,有购物意图用户的平台层转化率（非搜索链路、非AI链路专属口径）,P1实测,QuestMobile（36氪2025-09引述）：淘宝转化率8.2%，远超行业均值4.5%
行业均值,转化率,4.5,%,综合电商行业平均转化率（与上同行对照）,P1实测,同上 QuestMobile
淘宝AI导购,转化率,,,,未取得公开或内部实测的AI导购链路详情页→成交转化率,P4不采纳（空值）,—
千问电商场景,转化率,,,,未取得公开或内部实测的电商场景详情页→成交转化率,P4不采纳（空值）,—
传统搜索（淘宝）,每交互商品产出,,,,平台级「每次搜索的人均IPV／PV-CTR绝对值」未公开披露，不采用商家侧经验区间冒充平台基线,P4不采纳（空值）,—
淘宝AI导购,每交互商品产出,0.085,次/轮,人均IPV÷人均对话轮次＝0.11÷1.3,P3派生,内部口径 → 本报告计算
千问电商场景,每交互商品产出,0.357,次/轮,人均IPV÷人均对话轮次＝1.00÷2.8,P3派生,内部口径 → 本报告计算
传统搜推（Hybrid增强）,复杂词相关性提升,20.0,百分点,大模型与传统搜推融合后，复杂搜索词相关性提升20个PT（AB测试）,P2公司披露,阿里巴巴中国电商事业群搜推智能总裁凯夫（新浪科技2025-11-12双11报道）
传统搜推（Hybrid增强）,推荐信息流点击率提升,10.0,%,同一Hybrid架构下推荐信息流点击率提高10%（AB测试；相对提升，非绝对CTR基线）,P2公司披露,同上
